Species,d15N.LE,d15N.bulk,d13C.LE,d13C.bulk,C.N.LE,C.N.bulk,St.Dev.C,St.Dev.N,Sample.Type,Sub.Species,Sci.Name,SampleName,Sample,Tissue.Type,Station,Date,Month,Year,Depth.Strata,Length,Weight,Latitude,Longitude,Latitude2,Longitude2,Latitude3,Longitude3,Comment
Glass Squid,14.7,13.5,-20.15,-21.68,3.25,3.84,0.05,0.04,Gp,Glass Squid,Phyllura,SQ20160420-1M L.E,SQ20160420.1,Mantle,SQ,4/20/16,Apr,2016,NA,NA,,NA,NA,NA,NA,NA,NA,
Glass Squid,13.48,12.78,-20.15,-21.78,3.17,3.5,0.05,0.04,Gp,Glass Squid,Phyllura,SQ20160420-1T L.E,SQ20160420.2,Tentacle,SQ,4/20/16,Apr,2016,NA,NA,,NA,NA,NA,NA,NA,NA,
Grenadier,16.22,NA,-18.63,NA,3.5,NA,0.15,0.2,Cy,Grenadier,Coryphaenoides,Cy20160801-256,Cy256-16,Dorsal,90,8/1/16,Aug,2016,301,31,4.45,59.50166667,145.5365,5930,14531.71,59.50166667,145.5365,
Grenadier,15.16,NA,-19.26,NA,3.08,NA,0.219154436,0.19,Cy,Grenadier,Coryphaenoides,Cy20160730-237,Cy237-16,Dorsal,92,7/30/16,Jul,2016,301,29,3.43,59.555,143.6575,5933.3,14340,59.555,143.6575,
Grenadier,15.16,NA,-19.88,NA,3.15,NA,0.16,0.13,Cy,Grenadier,Coryphaenoides,Cy20160730-238,Cy238-16,Dorsal,92,7/30/16,Jul,2016,301,25,2.65,59.555,143.6575,5933.3,14340,59.555,143.6575,
Grenadier,15.28,NA,-19.58,NA,3.58,NA,0.15,0.2,Cy,Grenadier,Coryphaenoides,Cy20160730-241,Cy241-16,Dorsal,92,7/30/16,Jul,2016,601,32,4.49,59.555,143.6575,5933.3,14340,59.555,143.6575,
Grenadier,14.46,13.41,-20.73,-20.34,3.1,3.16,0.16,0.13,Cy,Grenadier,Coryphaenoides,Cy20160728-179,Cy179-16,Dorsal,93,7/28/16,Jul,2016,401,23,2.08,59.55,142.5718333,5933,14233.26,59.55,142.5718333,
Grenadier,14.12,13.18,-21.07,-20.81,3.04,3.22,0.16,0.13,Cy,Grenadier,Coryphaenoides,Cy20160727-165,Cy165-16,Dorsal,94,7/27/16,Jul,2016,801,22,1.75,59.42833333,142.296,5925.7,14217.76,59.42833333,142.296,
Grenadier,14.28,14.31,-19.92,-19.67,3.25,3.24,0.16,0.13,Cy,Grenadier,Coryphaenoides,Cy20160727-166,Cy166-16,Dorsal,94,7/27/16,Jul,2016,801,23,2.45,59.42833333,142.296,5925.7,14217.76,59.42833333,142.296,
Grenadier,15.44,NA,-20.14,NA,3.28,NA,0.16,0.13,Cy,Grenadier,Coryphaenoides,Cy20160727-167,Cy167-16,Dorsal,94,7/27/16,Jul,2016,801,35,6.01,59.42833333,142.296,5925.7,14217.76,59.42833333,142.296,
Grenadier,13.63,13.53,-20.72,-20.22,3.3,3.24,0.219154436,0.19,Cy,Grenadier,Coryphaenoides,Cy20160727-168,Cy168-16,Dorsal,94,7/27/16,Jul,2016,801,27,2.47,59.42833333,142.296,5925.7,14217.76,59.42833333,142.296,
Grenadier,15.73,15.21,-19.5,-19.46,2.97,3.2,0.16,0.13,Cy,Grenadier,Coryphaenoides,Cy20160727-169,Cy169-26,Dorsal,94,7/27/16,Jul,2016,801,24,1.63,59.42833333,142.296,5925.7,14217.76,59.42833333,142.296,
Grenadier,15.18,NA,-19.85,NA,3.15,NA,0.16,0.13,Cy,Grenadier,Coryphaenoides,Cy20160726-157,Cy157-16,Dorsal,95,7/26/16,Jul,2016,401,33,5.12,59.05,141.3433333,5903,14120.6,59.05,141.3433333,
Grenadier,14.53,NA,-19.97,NA,3.14,NA,0.16,0.13,Cy,Grenadier,Coryphaenoides,Cy20160726-158,Cy158-16,Dorsal,95,7/26/16,Jul,2016,401,31,4.47,59.05,141.3433333,5903,14120.6,59.05,141.3433333,
Grenadier,14.47,NA,-20.33,NA,3.19,NA,0.16,0.13,Cy,Grenadier,Coryphaenoides,Cy20160719-130,Cy130-16,Dorsal,96,7/19/16,Jul,2016,301,30,3.665,58.68333333,140.6438333,5841,14038.63,58.68333333,140.6438333,
Grenadier,13.77,NA,-20.34,NA,3.1,NA,0.219154436,0.19,Cy,Grenadier,Coryphaenoides,Cy20160719-131,Cy131-16,Dorsal,96,7/19/16,Jul,2016,301,27,2.915,58.68333333,140.6438333,5841,14038.63,58.68333333,140.6438333,
Grenadier,13.99,14.26,-20.05,-19.78,3.15,3.22,0.219154436,0.19,Cy,Grenadier,Coryphaenoides,Cy20160719-135,Cy135-16,Dorsal,96,7/19/16,Jul,2016,401,30,3.915,58.68333333,140.6438333,5841,14038.63,58.68333333,140.6438333,
Grenadier,12.76,NA,-21.25,NA,3.16,NA,0.219154436,0.19,Cy,Grenadier,Coryphaenoides,Cy20160717-124,Cy124-16,Dorsal,99,7/17/16,Jul,2016,801,19,1.345,57.88333333,137.5071667,5753,13730.43,57.88166667,137.4916667,
Grenadier,13.33,NA,-20.72,NA,3.11,NA,0.219154436,0.19,Cy,Grenadier,Coryphaenoides,Cy20160714-88,Cy088-16,Dorsal,101,7/14/16,Jul,2016,401,25,2.655,57.18666667,136.2365,5711.2,13614.19,57.18666667,136.2365,
Grenadier,14.13,13.46,-21.26,-20.46,3.26,3.31,0.2,0.16,Cy,Grenadier,Coryphaenoides,Cy20160714-91,Cy091-16,Dorsal,101,7/14/16,Jul,2016,601,20,1.425,57.18666667,136.2365,5711.2,13614.19,57.18666667,136.2365,
Grenadier,14.54,14.33,-20.11,-19.67,3.17,3.19,0.16,0.13,Ap,Giant Grenadier,Albatrossia,Ap20160711-52,Ap052-16,Dorsal,104,7/11/16,Jul,2016,301,33,6.07,55.98333333,135.4353333,5559,13526.12,55.98333333,135.4353333,
Grenadier,14.18,NA,-20.23,NA,3.12,NA,0.219154436,0.19,Ap,Giant Grenadier,Albatrossia,Ap20160711-54,Ap054-16,Dorsal,104,7/11/16,Jul,2016,401,28,3.955,55.98333333,135.4353333,5559,13526.12,55.98333333,135.4353333,
Grenadier,16.94,16.03,-19.65,-18.97,3.35,3.33,0.2,0.16,Cy,Grenadier,Coryphaenoides,Cy20160711-62,Cy062-16,Dorsal,104,7/11/16,Jul,2016,601,29,3.865,55.98333333,135.4353333,5559,13526.12,55.98333333,135.4353333,
Grenadier,15.15,NA,-19.49,NA,3.21,NA,0.16,0.13,Ap,Giant Grenadier,Albatrossia,Ap20160709-34,Ap034-16,Dorsal,105,7/9/16,Jul,2016,401,35,7.135,55.55666667,134.9686667,5533.4,13458.12,55.55666667,134.9686667,
Grenadier,15.59,14.62,-19.58,-19.3,2.99,3.18,0.16,0.13,Ap,Giant Grenadier,Albatrossia,Ap20160709-35,Ap035-16,Dorsal,105,7/9/16,Jul,2016,401,33,5.325,55.55666667,134.9686667,5533.4,13458.12,55.55666667,134.9686667,
Grenadier,14.1,13.53,-20.33,-20.74,3.11,3.33,0.2,0.16,Ap,Giant Grenadier,Albatrossia,Ap20160709-40,Ap040-16,Dorsal,105,7/9/16,Jul,2016,601,21,1.45,55.55666667,134.9686667,5533.4,13458.12,55.55666667,134.9686667,
Grenadier,15.84,15.35,-19.35,-19.85,3.07,3.26,0.2,0.16,Ap,Giant Grenadier,Albatrossia,Ap20160709-41,Ap041-16,Dorsal,105,7/9/16,Jul,2016,601,37,7.115,55.55666667,134.9686667,5533.4,13458.12,55.55666667,134.9686667,
Grenadier,14.61,NA,-19.74,NA,3.28,NA,0.16,0.13,Ap,Giant Grenadier,Albatrossia,Ap20160709-44,Ap044-16,Dorsal,105,7/9/16,Jul,2016,801,35,6.475,55.58166667,135.0531667,5534.9,13503.19,55.55666667,134.9686667,
Grenadier,16.58,16.54,-19.12,-18.79,3.16,3.24,0.219154436,0.19,Cy,Grenadier,Coryphaenoides,Cy20160706-15,Cy015-15,Dorsal,108,7/6/16,Jul,2016,401,33,5.595,54.46666667,133.923,5428,13355.38,54.46666667,133.923,
Grenadier,14.21,NA,-20.51,NA,3.21,NA,0.16,0.13,Cy,Grenadier,Coryphaenoides,Cy20160706-18,Cy018-16,Dorsal,108,7/6/16,Jul,2016,601,25,2.095,54.46666667,133.923,5428,13355.38,54.46666667,133.923,
Grenadier,14.77,14.41,-19.54,-20,3.04,3.19,0.2,0.16,Cy,Grenadier,Coryphaenoides,Cy20160706-17,Cy017-16,Dorsal,108,7/6/16,Jul,2016,601,29,3.705,54.46666667,133.923,5428,13355.38,54.46666667,133.923,
Grenadier,17.33,16.34,-19.16,-19.27,3.16,3.33,0.16,0.13,Cy,Grenadier,Coryphaenoides,Cy20160706-21,Cy021-16,Dorsal,108,7/6/16,Jul,2016,801,25,2.72,54.495,134.0155,5429.7,13400.93,54.46666667,133.923,
Grenadier,14.82,NA,-20.08,NA,3.24,NA,0.16,0.13,Cy,Grenadier,Coryphaenoides,Cy20160706-22,Cy022-16,Dorsal,108,7/6/16,Jul,2016,801,26,3.195,54.495,134.0155,5429.7,13400.93,54.46666667,133.923,
Grenadier,14.43,13.3,-19.83,-20.4,3.07,2.407885133,0.14,0.68,Cy,Grenadier,Coryphaenoides,Cy20170803-3,Cy214-17,Dorsal,89,8/3/17,Jul,2017,601,28,2.68,59.16666667,147.0815,5910,14704.89,59.16666667,147.0815,
Grenadier,15.35,14.42,-19.28,-19.72,3.08,2.084803619,0.14,0.68,Cy,Grenadier,Coryphaenoides,Cy20170803-4,Cy215-17,Dorsal,89,8/3/17,Jul,2017,601,34,5.265,59.16666667,147.0815,5910,14704.89,59.16666667,147.0815,
Grenadier,14.07,13.15,-20.7,-21.05,3.1,2.660859162,0.14,0.68,Cy,Grenadier,Coryphaenoides,Cy20170803-2,Cy211-17,Dorsal,89,8/3/17,Jul,2017,401,21,1.44,59.26,146.8653333,5915.6,14651.92,59.23,146.9601667,
Grenadier,14.55,13.35,-19.3,-19.8,3.06,3.448229129,0.14,0.68,Cy,Grenadier,Coryphaenoides,Cy20170731-3,Cy185-17,Dorsal,92,7/31/17,Jul,2017,601,29,3.5,59.58333333,143.9406667,5935,14356.44,59.555,143.6575,
Grenadier,14.86,13.73,-19.44,-19.89,3.07,3.39724201,0.14,0.68,Cy,Grenadier,Coryphaenoides,Cy20170731-4,Cy186-17,Dorsal,92,7/31/17,Jul,2017,601,29,3.44,59.58333333,143.9406667,5935,14356.44,59.555,143.6575,
Grenadier,14.44,13.65,-19.21,-19.76,3.02,3.312194007,0.14,0.68,Cy,Grenadier,Coryphaenoides,Cy20170731-6,Cy190-17,Dorsal,92,7/31/17,Jul,2017,801,30,3.72,59.58333333,143.9406667,5935,14356.44,59.555,143.6575,
Grenadier,14.12,NA,-19.56,NA,3.05,NA,0.24,0.11,Cy,Grenadier,Coryphaenoides,Cy20170729-1,Cy156-17,Dorsal,93,7/29/17,Jul,2017,601,27,3.175,59.56666667,142.7956667,5934,14247.74,59.55,142.5718333,
Grenadier,15.6,14.57,-18.93,-19.38,3.05,3.387794965,0.14,0.68,Cy,Grenadier,Coryphaenoides,Ap20170729-1,Ap152-17,Dorsal,93,7/29/17,Jul,2017,401,30,3.57,59.595,142.6966667,5935.7,14241.8,59.55,142.5718333,
Grenadier,14.66,13.69,-19.64,-19.96,3.06,3.42469354,0.14,0.68,Cy,Grenadier,Coryphaenoides,Ap20170729-2,Ap153-17,Dorsal,93,7/29/17,Jul,2017,401,29,4.145,59.595,142.6966667,5935.7,14241.8,59.55,142.5718333,
Grenadier,15.44,14.58,-19.45,-20.2,3.06,3.597338993,0.14,0.68,Cy,Grenadier,Coryphaenoides,Cy20170726-3,Cy141-17,Dorsal,96,7/26/17,Jul,2017,401,26,2.88,58.68666667,140.7786667,5841.2,14046.72,58.68333333,140.6438333,
Grenadier,15.36,14.06,-19.53,-20.1,3.05,3.495166848,0.14,0.68,Cy,Grenadier,Coryphaenoides,Cy20170726-5,Cy143-17,Dorsal,96,7/26/17,Jul,2017,401,28,3.865,58.68666667,140.7786667,5841.2,14046.72,58.68333333,140.6438333,
Grenadier,15.88,14.36,-19.19,-20.38,3.02,3.642561321,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170719-1,Ap122-17,Dorsal,98,7/19/17,Jul,2017,601,24,2.625,58.18166667,138.9655,5810.9,13857.93,58.15666667,138.8611667,
Grenadier,15.56,14.5,-18.93,-17.46,3.03,3.721446112,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170719-2,Ap123-17,Dorsal,98,7/19/17,Jul,2017,601,31,3.36,58.18166667,138.9655,5810.9,13857.93,58.15666667,138.8611667,
Grenadier,14.41,13.45,-19.37,-20.32,3.01,3.423253306,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170718-1,Ap117-17,Dorsal,99,7/18/17,Jul,2017,401,27,2.645,57.88166667,137.4916667,5752.9,13729.5,57.88166667,137.4916667,
Grenadier,15.37,14.14,-19.51,-20.13,3.05,3.474058774,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170718-3,Ap119-17,Dorsal,99,7/18/17,Jul,2017,601,26,2.39,57.88666667,137.607,5753.2,13736.42,57.88166667,137.4916667,
Grenadier,13.66,11.82,-20.47,-21.33,3.03,3.585110763,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170718-5,Ap121-17,Dorsal,99,7/18/17,Jul,2017,601,25,1.79,57.88666667,137.607,5753.2,13736.42,57.88166667,137.4916667,
Grenadier,15.33,14.58,-19.24,-19.59,3.07,3.134879108,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170715-1,Ap057-17,Dorsal,101,7/15/17,Jul,2017,401,37,5.175,57.18666667,136.2365,5711.5,13614.54,57.18666667,136.2365,
Grenadier,14.33,13.58,-19.82,-20.39,3.07,3.103029466,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170715-4,Ap061-17,Dorsal,101,7/15/17,Jul,2017,601,25,2.435,57.29,136.3816667,5717.4,13622.9,57.18666667,136.2365,
Grenadier,14.49,12.93,-19.5,-20.01,3.07,3.086449366,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170715-5,Ap062-17,Dorsal,101,7/15/17,Jul,2017,801,26,2.78,57.29,136.3816667,5717.4,13622.9,57.18666667,136.2365,
Grenadier,15.68,14.41,-18.32,-18.94,3.08,3.109363921,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170714-1,Ap045-17,Dorsal,102,7/14/17,Jul,2017,401,45,1.405,56.89333333,136.0938333,5653.6,13605.63,56.85333333,136.0026667,
Grenadier,16.16,15.28,-18.84,-19.19,3.08,3.09819106,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170714-2,Ap046-17,Dorsal,102,7/14/17,Jul,2017,401,26,2.905,56.89333333,136.0938333,5653.6,13605.63,56.85333333,136.0026667,
Grenadier,15.2,14.72,-19.59,-20.71,3.04,3.228462854,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170714-3,Ap047-17,Dorsal,102,7/14/17,Jul,2017,601,25,2.2,56.89333333,136.0938333,5653.6,13605.63,56.85333333,136.0026667,
Grenadier,14.14,12.96,-20.01,-20.79,3.08,3.096474604,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170714-4,Ap048-17,Dorsal,102,7/14/17,Jul,2017,601,28,3.14,56.97,136.129,5658.2,13607.74,56.85333333,136.0026667,
Grenadier,15.49,13.88,-19.56,-20.28,3.1,3.038456977,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170710-1,Ap018-17,Dorsal,105,7/10/17,Jul,2017,601,34,6.575,55.63,135.1461667,5537.8,13508.77,55.55666667,134.9686667,
Grenadier,16.18,13.98,-18.69,-19.31,3.1,3.065763713,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170710-2,Ap019-17,Dorsal,105,7/10/17,Jul,2017,601,36,4.975,55.63,135.1461667,5537.8,13508.77,55.55666667,134.9686667,
Grenadier,15.18,12.88,-19.44,-20.3,3.1,3.066438959,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170710-3,Ap020-17,Dorsal,105,7/10/17,Jul,2017,801,29,2.66,55.63,135.1461667,5537.8,13508.77,55.55666667,134.9686667,
Grenadier,14.36,NA,-19.84,NA,3.09,NA,0.1,0.08,Ap,Giant Grenadier,Albatrossia,Ap20170709-1,Ap004-17,Dorsal,106,7/9/17,Jul,2017,401,30,3.38,55.34833333,134.7303333,5520.9,13443.82,55.34833333,134.7303333,
Grenadier,14.46,14.66,-19.89,-20.43,3.1,3.028958777,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170709-2,Ap017-17,Dorsal,106,7/9/17,Jul,2017,401,30,3.585,55.39833333,134.8298333,5523.9,13449.79,55.34833333,134.7303333,
Grenadier,15.58,13.93,-19,-19.74,3.1,3.093140565,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170717-1,Ap081-17,Dorsal,143,7/17/17,Jul,2017,401,32,4.76,57.96666667,137.0843333,5758,13705.06,57.915,137.0043333,
Grenadier,15.9,14.9,-18.66,-19.53,3.07,3.260847977,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170717-2,Ap082-17,Dorsal,143,7/17/17,Jul,2017,401,28,3.41,57.96666667,137.0843333,5758,13705.06,57.915,137.0043333,
Grenadier,15.24,13.71,-19.08,-19.98,3.1,3.28232742,0.14,0.68,Ap,Giant Grenadier,Albatrossia,Ap20170717-3,Ap083-17,Dorsal,143,7/17/17,Jul,2017,301,26,3.395,57.96666667,137.0843333,5758,13705.06,57.915,137.0043333,
Magister Squid,14.52,13.58,-17.67,-18.76,3.02,3.32,0.05,0.04,Bm,Magister Squid,Berryteuthis,SQ20160401-M1 M.L.E,SQ20160401.1,Mantle,SQ,4/1/16,Apr,2016,300,20.3,,55.47608333,131.8407967,55 28.565,131 50.4478,55.47608333,131.8407967,
Magister Squid,15.02,13.44,-17.61,-17.78,3.05,3.25,0.05,0.04,Bm,Magister Squid,Berryteuthis,SQ20160401-T1 T.L.E,SQ20160401.2,Tentacle,SQ,4/1/16,Apr,2016,300,20.3,,55.47608333,131.8407967,55 28.565,131 50.4478,55.47608333,131.8407967,
Magister Squid,14.52,12.28,-17.18,-18.81,2.99,3.29,0.05,0.04,Bm,Magister Squid,Berryteuthis,SQ20160401-M2 M.L.E,SQ20160401.3,Mantle,SQ,4/1/16,Apr,2016,300,17.8,,55.47608333,131.8407967,55 28.565,131 50.4478,55.47608333,131.8407967,
Magister Squid,14.6,13.73,-17.92,-18.75,3.08,3.38,0.05,0.04,Bm,Magister Squid,Berryteuthis,SQ20160401-T2 T.L.E,SQ20160401.4,Tentacle,SQ,4/1/16,Apr,2016,300,17.8,,55.47608333,131.8407967,55 28.565,131 50.4478,55.47608333,131.8407967,
Magister Squid,15.28,14.49,-17.19,-17.44,2.96,3.22,0.2,0.22,Bm,Magister Squid,Berryteuthis,Sq20170901-1 ,SQ20170901.1,Mantle,Bm,9/1/17,Sep,2017,10,28,,58.24166667,134.915,58 14.5,134 54.9,58.24166667,134.915,
Magister Squid,15.48,14.02,-18.61,-19.67,2.93,3.33,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm213-1,Bm213-1,Mantle,Bm213,7/22/17,Jul,2017,430,33,1455,58.94729,148.02809,58.94729,-148.02809,58.94729,148.02809,
Magister Squid,13.3,11.59,-18.88,-20.26,2.99,3.38,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm237-1,Bm237-1,Mantle,Bm237,7/29/17,Jul,2017,306,26,620,59.27408,141.97318,59.27408,-141.97318,59.27408,141.97318,
Magister Squid,13.66,11.63,-19.31,-20.91,3.1,3.42,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm237-2,Bm237-2,Mantle,Bm237,7/29/17,Jul,2017,306,24,474,59.27408,141.97318,59.27408,-141.97318,59.27408,141.97318,
Magister Squid,13.08,11.64,-19.37,-20.64,2.93,3.41,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm237-3,Bm237-3,Mantle,Bm237,7/29/17,Jul,2017,306,24,522,59.27408,141.97318,59.27408,-141.97318,59.27408,141.97318,
Magister Squid,15.61,13.14,-19.04,-20.75,3,3.33,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm237-4,Bm237-4,Mantle,Bm237,7/29/17,Jul,2017,306,32,1138,59.27408,141.97318,59.27408,-141.97318,59.27408,141.97318,
Magister Squid,10.05,10.76,-19.57,-21.33,2.9,3.51,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm239-1,Bm239-1,Mantle,Bm239,7/29/17,Jul,2017,324,18,224,59.17207,141.50878,59.17207,-141.50878,59.17207,141.50878,
Magister Squid,12.68,11.26,-19.42,-20.87,2.99,3.42,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm240-1,Bm240-1,Mantle,Bm240,7/29/17,Jul,2017,294,20,268,59.18933,141.20755,59.18933,-141.20755,59.18933,141.20755,
Magister Squid,12.79,11.12,-19.45,-20.76,3.02,3.4,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm240-2,Bm240-2,Mantle,Bm240,7/29/17,Jul,2017,294,19,230,59.18933,141.20755,59.18933,-141.20755,59.18933,141.20755,
Magister Squid,12.88,NA,-19.39,NA,2.69,NA,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm240-3,Bm240-3,Mantle,Bm240,7/29/17,Jul,2017,294,17,192,59.18933,141.20755,59.18933,-141.20755,59.18933,141.20755,
Magister Squid,13.62,11.84,-19.26,-20.56,3.01,3.41,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm240-4,Bm240-4,Mantle,Bm240,7/29/17,Jul,2017,294,22,342,59.18933,141.20755,59.18933,-141.20755,59.18933,141.20755,
Magister Squid,13.44,11.75,-19.58,-21.02,3,3.46,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm240-5,Bm240-5,Mantle,Bm240,7/29/17,Jul,2017,294,20,278,59.18933,141.20755,59.18933,-141.20755,59.18933,141.20755,
Magister Squid,13.87,12,-19.48,-20.58,3.11,3.37,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm240-6,Bm240-6,Mantle,Bm240,7/29/17,Jul,2017,294,20,274,59.18933,141.20755,59.18933,-141.20755,59.18933,141.20755,
Magister Squid,14.48,11.62,-19.67,-21.01,3.1,3.41,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm242-1,Bm242-1,Mantle,Bm242,7/30/17,Jul,2017,506,26,498,59.00258,141.29665,59.00258,-141.29665,59.00258,141.29665,
Magister Squid,13.76,11.32,-20.16,-22.02,3,3.32,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm242-2,Bm242-2,Mantle,Bm242,7/30/17,Jul,2017,506,23,418,59.00258,141.29665,59.00258,-141.29665,59.00258,141.29665,
Magister Squid,15.14,12.59,-19.24,-20.68,3.23,3.44,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm242-3,Bm242-3,Mantle,Bm242,7/30/17,Jul,2017,506,27,702,59.00258,141.29665,59.00258,-141.29665,59.00258,141.29665,
Magister Squid,12.23,9.99,-19.97,-21.66,2.9,3.27,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm242-4,Bm242-4,Mantle,Bm242,7/30/17,Jul,2017,506,24,466,59.00258,141.29665,59.00258,-141.29665,59.00258,141.29665,
Magister Squid,12.64,11,-18.98,-20.61,2.99,3.45,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm254-1,Bm254-1,Mantle,Bm254,8/1/17,Aug,2017,330,15,120,57.9531,137.18357,57.9531,137.18357,57.9531,137.18357,
Magister Squid,16.04,NA,-19.27,NA,3.2,NA,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm254-2,Bm254-2,Mantle,Bm254,8/1/17,Aug,2017,330,30,908,57.9531,137.18357,57.9531,137.18357,57.9531,137.18357,
Magister Squid,12.81,11.56,-18.98,-20.39,3.07,3.64,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm258-1,Bm258-1,Mantle,Bm258,8/2/17,Aug,2017,232,12,76,58.10316,136.82044,58.10316,136.82044,136.82044,58.10316,
Magister Squid,13.88,12.19,-19.1,-20.42,3.07,3.43,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm260-1,Bm260-1,Mantle,Bm260,8/3/17,Aug,2017,320,24,572,57.26539,136.29366,57.26539,-136.29366,57.26539,136.29366,
Magister Squid,14.7,12.47,-18.84,-20.42,3.1,3.48,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm260-2,Bm260-2,Mantle,Bm260,8/3/17,Aug,2017,320,28,728,57.26539,136.29366,57.26539,-136.29366,57.26539,136.29366,
